EEG Data File
Created on: 2025-08-31 13:59:41
Sample Rate: 512Hz
Number of Samples: 1000

Sample Index,EEG Value (uV)
0,-519.612
1,-382.872
2,1027.356
3,-1054.704
4,424.668
5,-784.32
6,-738.912
7,726.528
8,919.5120000000001
9,-950.472
10,667.188
11,-940.152
12,1018.5840000000001
13,1021.6800000000001
14,538.7040000000001
15,-447.372
16,168.732
17,-223.428
18,-742.524
19,612.492
20,-455.628
21,-185.244
22,-372.036
23,798.768
24,918.48
25,68.628
26,842.628
27,616.62
28,-176.988
29,816.312
30,665.124
31,276.06
32,107.84400000000001
33,-196.596
34,646.548
35,547.992
36,-125.904
37,978.852
38,714.144
39,621.78
40,-162.54
41,1022.712
42,-327.144
43,775.032
44,-904.032
45,732.72
46,-215.68800000000002
47,-312.696
48,1020.1320000000001
49,718.272
50,-111.456
51,166.668
52,1023.744
53,-712.596
54,-718.788
55,615.072
56,826.116
57,-1044.384
58,-623.844
59,14.964
60,-1046.964
61,194.532
62,223.428
63,105.78
64,-117.132
65,359.136
66,-168.216
67,573.792
68,543.3480000000001
69,-189.888
70,758.52
71,385.968
72,406.092
73,-551.088
74,506.712
75,457.176
76,-707.952
77,182.66400000000002
78,-59.856
79,888.552
80,205.368
81,832.308
82,371.004
83,373.584
84,224.976
85,715.692
86,325.596
87,-723.948
88,-129.516
89,-854.496
90,-189.372
91,533.544
92,-18.060000000000002
93,741.4920000000001
94,396.288
95,-912.804
96,147.576
97,1017.552
98,750.264
99,269.868
100,-672.3480000000001
101,390.612
102,-561.408
103,1023.2280000000001
104,-1052.64
105,-1056.768
106,-24.252000000000002
107,-335.40000000000003
108,697.116
109,-258.516
110,733.7520000000001
111,837.984
112,64.5
113,321.468
114,-902.484
115,-57.792
116,150.156
117,-925.188
118,-114.552
119,627.456
120,-1032.0
121,-928.284
122,-17.544
123,-447.88800000000003
124,653.256
125,1011.876
126,-335.40000000000003
127,-121.26
128,-574.308
129,-350.36400000000003
130,-835.9200000000001
131,-809.088
132,922.6080000000001
133,-232.716
134,519.096
135,-556.248
136,527.352
137,233.232
138,31.476
139,-444.276
140,919.5120000000001
141,-31.992
142,4.128
143,259.548
144,-665.124
145,736.8480000000001
146,746.136
147,129.516
148,-5.676
149,1050.06
150,23.22
151,461.82
152,642.936
153,47.472
154,604.236
155,-748.2
156,709.5
157,-817.344
158,1054.188
159,857.592
160,427.248
161,583.08
162,-716.208
163,-89.268
164,198.144
165,-352.428
166,393.192
167,-150.156
168,-16.512
169,-505.68
170,-643.452
171,-512.904
172,261.612
173,-815.28
174,-476.784
175,351.396
176,-244.584
177,-327.66
178,674.412
179,1029.936
180,-622.812
181,-87.72
182,415.38
183,811.152
184,879.78
185,-408.156
186,-178.536
187,494.844
188,904.032
189,-1025.292
190,987.1080000000001
191,1042.32
192,882.36
193,554.184
194,-821.472
195,502.06800000000004
196,-591.852
197,400.932
198,-874.62
199,168.732
200,-113.004
201,-63.984
202,999.4920000000001
203,839.0160000000001
204,-814.764
205,-668.736
206,-24.768
207,-76.368
208,19.092
209,406.608
210,638.292
211,71.724
212,-635.712
213,637.26
214,-665.124
215,-520.644
216,-782.772
217,444.276
218,217.23600000000002
219,-511.872
220,-602.172
221,-408.672
222,919.5120000000001
223,-878.748
224,-318.88800000000003
225,937.056
226,-85.14
227,-1054.188
228,-982.98
229,606.3000000000001
230,363.264
231,114.036
232,432.92400000000004
233,-764.712
234,-805.9920000000001
235,825.6
236,956.664
237,-508.26
238,763.164
239,-374.616
240,120.744
241,75.336
242,-775.032
243,-537.1560000000001
244,786.9
245,-578.952
246,263.676
247,328.692
248,-35.604
249,669.2520000000001
250,-626.94
251,604.236
252,-117.132
253,21.156
254,-374.1
255,1020.1320000000001
256,364.812
257,751.296
258,815.28
259,718.788
260,-251.808
261,-334.884
262,-225.49200000000002
263,449.952
264,58.824
265,266.772
266,1038.192
267,-70.69200000000001
268,-1050.576
269,-389.58
270,-56.244
271,-840.5640000000001
272,-1024.26
273,-557.796
274,-231.684
275,-1039.74
276,-69.66
277,-446.856
278,-667.7040000000001
279,-90.816
280,-477.81600000000003
281,658.416
282,-607.8480000000001
283,813.732
284,-868.428
285,-805.476
286,-47.988
287,-162.54
288,554.184
289,151.704
290,-697.6320000000001
291,1002.072
292,350.36400000000003
293,-207.948
294,-970.08
295,1033.548
296,-404.028
297,86.688
298,755.94
299,-667.7040000000001
300,685.764
301,519.096
302,-50.568
303,49.02
304,-867.912
305,907.128
306,227.556
307,188.34
308,-923.124
309,-839.532
310,1046.964
311,-10.836
312,-911.256
313,152.736
314,933.4440000000001
315,1035.096
316,913.836
317,-240.972
318,-566.052
319,987.624
320,579.984
321,966.984
322,893.196
323,727.044
324,-82.044
325,-106.296
326,-332.82
327,-53.148
328,-57.276
329,-415.38
330,405.576
331,-363.264
332,-976.788
333,34.572
334,484.524
335,-260.064
336,-1030.968
337,-398.35200000000003
338,-60.888000000000005
339,-579.984
340,-722.916
341,185.76
342,407.124
343,275.028
344,-150.156
345,-652.74
346,-880.812
347,-1003.62
348,-139.836
349,103.2
350,979.884
351,-829.7280000000001
352,889.5840000000001
353,52.116
354,-598.5600000000001
355,-568.116
356,-246.648
357,171.312
358,933.96
359,-483.492
360,-425.7
361,-700.212
362,660.996
363,-906.096
364,-950.472
365,330.75600000000003
366,-964.9200000000001
367,-709.5
368,163.056
369,981.948
370,-593.4
371,6.708
372,510.84000000000003
373,-136.74
374,-1013.94
375,-949.956
376,-637.7760000000001
377,-458.208
378,-972.144
379,-867.912
380,975.24
381,168.732
382,898.8720000000001
383,791.544
384,-578.952
385,-275.028
386,421.572
387,-698.664
388,-244.584
389,683.7
390,-568.6320000000001
391,484.524
392,-740.976
393,-749.748
394,154.8
395,-574.308
396,-722.4
397,-294.12
398,-582.564
399,142.416
400,-711.564
401,684.216
402,-849.336
403,-724.464
404,-459.75600000000003
405,633.648
406,-112.488
407,-173.892
408,-1014.972
409,320.952
410,114.036
411,-832.8240000000001
412,770.388
413,476.784
414,398.35200000000003
415,708.984
416,-910.224
417,-652.74
418,-51.6
419,859.14
420,-665.124
421,-495.36
422,947.892
423,485.04
424,-132.612
425,334.368
426,-1034.064
427,304.956
428,-1014.456
429,217.23600000000002
430,-454.08000000000004
431,-447.372
432,-611.46
433,-647.58
434,-232.716
435,892.6800000000001
436,-238.90800000000002
437,-351.396
438,-89.268
439,820.44
440,-121.77600000000001
441,495.87600000000003
442,-399.90000000000003
443,-305.988
444,739.9440000000001
445,-43.86
446,573.792
447,-279.672
448,-446.34000000000003
449,-148.092
450,-421.05600000000004
451,-861.72
452,689.376
453,-635.712
454,-38.184
455,959.76
456,192.984
457,-0.516
458,-69.66
459,805.476
460,412.8
461,-804.96
462,588.24
463,231.168
464,-579.984
465,995.364
466,667.188
467,455.112
468,-605.784
469,299.28000000000003
470,-118.164
471,492.78000000000003
472,228.588
473,568.6320000000001
474,15.48
475,-556.764
476,138.288
477,-277.608
478,730.14
479,-552.12
480,313.728
481,-107.84400000000001
482,-465.94800000000004
483,478.332
484,118.164
485,103.71600000000001
486,506.196
487,671.832
488,-612.492
489,-565.02
490,443.76
491,-1046.448
492,-174.40800000000002
493,343.656
494,-370.488
495,415.38
496,404.028
497,11.868
498,517.032
499,67.596
500,555.732
501,-763.6800000000001
502,0.0
503,-849.852
504,-295.668
505,-212.076
506,526.836
507,194.01600000000002
508,-204.336
509,-259.548
510,-955.116
511,897.84
512,-624.876
513,-448.92
514,329.724
515,-148.608
516,-36.120000000000005
517,987.1080000000001
518,671.316
519,1001.0400000000001
520,-517.032
521,521.676
522,777.612
523,-909.192
524,163.056
525,-155.832
526,1022.196
527,102.684
528,-61.404
529,666.1560000000001
530,-81.012
531,-663.576
532,-216.72
533,599.076
534,493.296
535,422.604
536,-549.024
537,1000.524
538,-445.824
539,481.944
540,792.576
541,-623.844
542,542.316
543,332.30400000000003
544,-584.628
545,908.676
546,-1027.872
547,831.792
548,-597.0120000000001
549,363.78000000000003
550,536.64
551,-676.476
552,-851.4
553,-70.176
554,331.788
555,609.912
556,-549.54
557,-699.1800000000001
558,689.376
559,-167.70000000000002
560,795.1560000000001
561,470.592
562,-488.652
563,-853.464
564,-605.784
565,148.608
566,-873.072
